UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
,,,,,,18811.0,,,,,,
A0A075B5X2,0.335,,,,,,,,,,,0.22
A0A075B668,,,,,,,,,,,,0.035
A0A087WNM4,,,,,,,,,,,,0.004
A0A087WNP5,,,,,,,,,,,,0.063
A0A087WNP8,,,,,,,,,,,,0.002
A0A087WNW4,,,,,,,,,,,,0.019
A0A087WNW5,,,,,,,,,,,,0.021
A0A087WP11,,,,,,,,,,,,0.006
A0A087WP28,,,,,,,,,,,,0.016
A0A087WP35,,,,,,,,,,,,0.017
A0A087WP44,,,,,,,,,,,,0.018
A0A087WP97,0.014,,,,,,,,,,,0.025
A0A087WPA5,,,,,,,,,,,,7e-05
A0A087WPC3,,,,,,,2.75,,,,,0.578
A0A087WPF7,12.8,,6.24,,,,,,,,,0.105
A0A087WPG5,,,,,,,,,,,,0.002
A0A087WPJ1,,,,,,,,,,,,0.044
A0A087WPJ9,,,,,,,,,,,,0.018
A0A087WPN2,,,,,,,,,,,,0.045
A0A087WPY5,,0.145,0.242,1.9,0.421,14.0,3.65,0.129,7.39,,0.099,8.46
A0A087WQ19,,,,,,,,,,,,0.083
A0A087WQ24,,,,,,,,,,,,0.018
A0A087WQ44,9.72,,,,,,4.44,,,,,1.85
A0A087WQ89,,,,,,3.02,,,,,,0.178
A0A087WQA3,,,,,,,,,,,,0.018
A0A087WQC7,,,,,,,,,,,,0.018
A0A087WQD2,,,,,,,,,,,,0.006
A0A087WQI7,,,,,,,,,,,,0.034
A0A087WQJ0,,,,,,,,,,,,0.015
A0A087WQP8,,,,,,,,,,,,0.002
A0A087WQU7,,,,,,,,,,,,3e-06
A0A087WR13,0.006,,,,,0.009,0.004,0.026,,,,0.005
A0A087WR14,,,,,,,,,,,,0.018
A0A087WR18,,,,,,,,,,,,0.001
A0A087WR34,6.29,,,,,,,,,,,6.58
A0A087WR36,,,,,,,,,,,,2e-05
A0A087WR45,0.012,,,,0.528,,,,3.66,,0.246,0.044
A0A087WR82,0.034,,,,,,,,,,,0.023
A0A087WR99,,,,,,,,,,,,0.021
A0A087WRF5,0.013,,,,,,,,,,,0.02
A0A087WRH0,,,,,,,,,,,,0.114
A0A087WRH8,,,,,,,,,,,,0.004
A0A087WRI3,,,,,,,,,,,,0.025
A0A087WRJ1,,,,,,,,,,,,0.053
A0A087WRK1,,,,,,,,,,,,0.018
A0A087WRK3,,,,,,,,,,,,0.018
A0A087WRL2,,,,,,,,,,,,0.018
A0A087WRP6,,,,,,,,,,,,0.018
A0A087WRR7,,,,,,,,,,,,0.014
A0A087WRT9,0.013,,,,,,,,,,,0.02
A0A087WRU1,0.01,,,,,,,,,,,0.008
A0A087WS15,,,,,,,2.27,,,,,0.638
A0A087WS64,,,,,,,,,,,,0.004
A0A087WS97,,,,,,,,,,,,0.0005
A0A087WSD2,,,,,,,,,,,,0.0003
A0A087WSF2,,,,,,,,,,,,0.004
A0A087WSK7,2.75,,,,,,1.29,,,,,2.1
A0A087WSM5,,,,,,,,,,,,0.082
A0A087WSN2,,,,,,,,,,,,0.0003
A0A087WSP8,,,,,,,,,,,,0.074
A0A087WSS0,,,,,,,,,,,,0.0005
A0A0A6YVW8,,,,,,,,,,,,0.003
A0A0A6YW38,,,,,,,,,,,,0.0005
A0A0A6YX19,,,,,,,,,,,,0.005
A0A0A6YXX9,,,,,,,,,,,,0.009
A0A0A6YY83,1.52,,,,0.369,,,,,,,2.38
A0A0B4J1F3,,,,,,,,,,,0.379,0.007
A0A0B4J1F4,,,,,,,,,,,,0.022
A0A0B4J1F6,,,,,,,,,,,,0.01
A0A0B4J1F8,,,,,,,,,,,,0.054
A0A0B4J1F9,,,,,,,,,,,,0.665
A0A0B4J1G4,,,,,,,,,,,,0.0002
A0A0B4J1I6,,,,,,,,,,,,0.168
A0A0G2JDI3,1.14,0.2,0.051,0.36,,1.37,9.11,2.39,,0.212,3.39,8.51
A0A0G2JDS2,,,,,,,,,,,,0.847
A0A0G2JDV3,0.058,1.45,0.076,2.79,0.108,,3.51,6.47,0.198,0.007,58.4,0.615
A0A0G2JGH6,,,,,,,,,,,,0.021
A0A0J9YU00,,,,,,,,,,,,0.007
A0A0J9YUD4,,,,,,,,,,,,0.044
A0A0J9YUW3,,,,,,,,,,,,0.099
A0A0M3U1B0,,,,,,,,,,,,0.005
A0A0N4SUH6,37.3,2.02,,,0.86,11.9,4.53,17.7,,7.1,46.8,69.3
A0A0N4SUZ8,,,,,,,,,,,,0.005
A0A0N4SVF2,0.117,,,,,,,,,,,0.024
A0A0N4SVP2,,,,,,,,,,,,6e-05
A0A0N4SW15,,,,,,,,,,,,0.004
A0A0N4SW55,,,,,,,,,,,,0.0004
A0A0N4SWA5,6.59,,0.296,,0.22,,,1.17,,,0.109,0.583
A0A0R4J045,7.26,,,,,,,,,,,11.8
A0A0R4J0Y7,0.023,,,,,,,,,,,0.019
A0A0R4J157,,,,,,,0.439,0.72,,,,0.053
A0A0R4J159,,,,,,,,2.0,,,,5.71
A0A0R4J1R5,,,,4.41,0.092,,,0.377,,0.044,8.25,0.567
A0A0R4J1Z4,0.999,,,,,,,,,,0.134,26.0
A0A0R4J284,,0.651,,,,,,0.461,,,1.16,0.172
A0A0R4J2B9,,,,,,,,,,,,0.0003
A0A0U1RPC4,413.0,539.0,,,269.0,244.0,229.0,70.7,,208.0,237.0,114.0
A0A0U1RPR8,,,,,,,,,,,,0.006
A0A140LHM0,,,,,,,,,,,,0.076
A0A140LIF8,0.048,0.243,0.151,,0.233,2.05,12.3,10.8,,,49.0,0.886
A0A140LIT3,,,,,,0.322,0.145,0.377,,,,0.666
A0A140LIW3,,,,,,,,,,,,0.042
A0A140LJ87,,,,,,,,,,,,0.004
A0A140LJK6,,,,,,,,,,,,0.019
A0A140T8I4,0.903,,,,0.041,,,,,,0.384,0.931
A0A140T8J7,,,,,,,,,,,,0.009
A0A140T8K7,,,,,,,,,,,,8e-05
A0A140T8Q2,,,,,,,,,,,,0.0006
A0A140T8Q5,,,,,,,,,,,,0.0003
A0A140T8T4,206.0,107.0,5.01,24.3,9.42,59.7,108.0,131.0,1.52,882.0,170.0,298.0
A0A140T8U1,,,,,,,,,,,,0.003
A0A140T8U3,0.004,,,,,,,,,,,0.0006
A0A1B0GRE8,,,,,,,,,,,,0.018
A0A1B0GRF0,,,,,,,,,,,,0.005
A0A1B0GSD2,,,,,,,,,,,,0.009
A0A1B0GSF4,,,,,,,,,,,,0.007
A0A1B0GT72,,,,,,,,,,,,0.0002
A0A1D5RLN9,0.039,,,,,,,,,,,0.996
A0A1D5RM15,,,,,,,,,,,,0.15
A0A1D5RM54,,,,,,,,,,,,0.005
A0A1D5RMC2,,,,,,,,,,,,0.071
A0A1D5RMF0,15.7,,,,,,9.84,,,,,21.4
A0A1L1SR98,,,,,,,,,,,,3e-05
A0A1L1SRK6,1.12,,,,,,,,,,,0.283
A0A1L1SSZ5,,,,,,,,,,,,0.0002
A0A1L1ST14,,,,,,,,,,,,0.029
A0A1L1ST15,,,,,,,,,,,,6e-07
A0A1L1STN9,,,,,,,,,,,,0.043
A0A1L1STZ9,,,,,,,,,,,,0.015
A0A1L1SUC9,,,,,,,,,,,,0.013
A0A1W2P6N8,0.831,0.393,0.793,0.744,0.161,25.3,36.4,33.1,3.0,0.438,2.82,28.7
A0A1W2P6U8,,,,,,,,,,,,0.033
A0A1W2P740,,,,,,,,,,,,0.0003
A0A1W2P7H6,,,,,,,,,,,,0.006
A0A1W2P872,45.9,0.186,220.0,62.2,0.103,,,3.95,0.055,0.027,0.362,7.14
A0A1W2P884,,,,,,,,,,,0.439,0.019
A0A1Y7VJE9,3.73,0.571,,,0.17,0.745,21.7,4.57,,4.04,6.52,4.95
A0A1Y7VK00,,,,,,,,,,,,0.257
A0A1Y7VKT9,3.08,1.03,,0.448,0.848,3.31,4.98,6.61,0.913,0.908,1.66,13.5
A0A1Y7VLT7,1.72,2.23,0.956,16.4,2.19,0.55,14.7,6.41,0.573,13.1,4.68,2.53
A0A1Y7VNZ0,,,,,,,,,,,,0.039
A0A286YCX6,10.3,20.4,9.17,0.525,2.14,32.4,9.05,78.7,,0.949,15.7,2.12
A0A2C9F2C1,3.47,,4.99,2.23,0.05,,,,,0.13,0.474,5.11
A0A2I3BPQ9,,,,,,,,,,,,2e-05
A0A2I3BQ48,55.8,,2.58,,,,,97.8,,,,0.958
A0A2I3BRI6,,,,,,,,,,,,0.016
A0A2I3BRN2,,,,,,,,,,,,0.034
A0A2I3BRV7,0.013,,,,,,,,,,,0.008
A0A2I3BRZ3,,,,,,,,,,,,0.0006
A0A2I3BRZ9,0.008,,,,,,,,,,,0.007
A0A2R8VKG2,0.276,,,,,,,,,,,0.685
A0A338P6D5,,,,,,,,,,,,0.047
A0A338P6K9,0.068,,3.66,,,,,,,,,0.619
A0A338P6T0,,,,,,,,,,,,4e-05
A0A3B2WBC8,0.083,,,,,,,,,,,0.012
A0A3B2WD63,,,,,,,,,,,,5e-05
A0A3Q4EGM4,,,,,,,,,,,,0.321
A0A494B9V8,0.522,,,,,,,,,,,1.04
A0A494BBN6,,,,,,,,,,,,0.02
A0A504,,,,,,,,,,,,0.0003
A0A571BD55,,,,,,,,,,,,0.0003
A0A571BDD5,,,,,,,,,,,,0.0004
A0A571BDE3,,,,,,,,,,,,0.004
A0A571BE33,0.032,,,,,,,,,,,0.008
A0A571BEF3,,,,,,,,,,,,0.003
A0A571BF02,0.084,,,,,,,,6.0,0.589,2.21,0.003
A0A571BG01,0.015,,,,,,,,,,,0.008
A0A571BG29,,,,,,,,,,,,0.0004
A0A571BG45,,,,,,,,,,,,0.0003
A0A571BG86,,,,,,,,,,,,0.003
A0A571BGC3,,,,,,,,,,,,0.003
A0A571BGF1,,,,,,,,,,,,0.074
A0A5F8MPH1,,,,,,,,,,,,7e-05
A0A5F8MPU3,,,,,,,,,,,,0.079
A0A5K7RLP0,,,,,,,,,,,,5e-05
A0AUP1,,,,,,,,,,,,0.083
A0AUV4,,,,,0.123,,,,,,,4e-05
A0JNT9,,,,,,,,,,,,0.004
A0JNU3,,0.5,,,,0.761,16.6,,,,,0.065
A0JP43,,,,,0.151,,,,,,,0.0002
A0PJN4,0.021,,14.0,,,,,,,,,
A0PK51,,,,,,,,,2.32,,,0.149
A0PK55,,,,,,,,,,,,0.017
A0PK57,,,,,,,,,,,,0.005
A0PK84,,,,,,,,,,,,0.047
A0S860,0.23,,,,,,,,0.581,,,0.145
A1A535,,,,,,,,,,,,0.034
A1A546,,,,,,,,,,,,0.0001
A1A5B6,0.037,,11.6,,,,,,0.32,,,2.32
A1E5L0,,,,,,,,,,,,1.55
A1E960,,,,,,,,,,,,2e-05
A1EGX6,,,,,0.064,,,,,,,0.009
A1IGU4,0.018,,3.81,,,,,,,,,0.115
A1L0T3,,,,,,,,,,,,0.041
A1L1B4,,,,,,,,,,,,0.0002
A1L314,0.214,,,,,,10.5,6.41,,,17.9,3.82
A1L317,0.515,,,,0.119,,8.99,,,0.274,,1.18
A1L3P4,1.92,,99.4,,,,,,0.359,,,3.46
A1L3T7,,,,,,,,,,,,0.001
A1Y9I9,,,,,,,,,,,,0.02
A1Z198,,,,,,,,,,,,0.007
